Age,Race,RaceBin,Spanish,Gender,GenderBin,ALResident,Education,EducationBin,Visitor,Beach,BeachBin,Turtleview,TurtleviewBin,Dolphinview,DolphinviewBin,Wildlifeview,WildlifeviewBin,Fishbeach,FishbeachBin,Fishjetty,FishjettyBin,Fishboat,FishboatBin,Boatmotor,BoatmotorBin,Boatsail,BoatsailBin,Angler,Policy,PolicyBin,Wildlife,WildlifeBin,Pamphlet,Sign,Magnet,Sticker,Bycatch,Lures,Hooks,Lights,Phone
63,3,1,0,1,1,0,4,1,3,3,1,3,1,3,1,3,1,2,0,2,0,2,0,2,0,2,0,0,0.6666666667,1,0.9333333333,1,,,,,1,1,1,1,1
28,3,1,0,0,0,,2,0,1,3,1,4,1,4,1,3,1,2,0,2,0,3,1,2,0,3,1,0,0.6666666667,1,0.8666666667,1,,,,,1,1,1,1,1
31,,0,0,1,1,1,4,1,1,1,0,3,1,3,1,3,1,3,1,3,1,3,1,4,1,2,0,1,0.7333333333,1,1,1,,,,,1,1,1,1,1
40,3,1,0,1,1,0,5,1,3,4,1,2,0,2,0,3,1,2,0,2,0,2,0,2,0,2,0,0,0.8666666667,1,0.9333333333,1,,,,,1,1,1,1,1
27,3,1,0,1,1,1,5,1,1,4,1,3,1,4,1,3,1,3,1,3,1,3,1,4,1,2,0,1,0.8666666667,1,0.9333333333,1,,,,,1,1,1,1,1
24,2,0,0,0,0,1,5,1,3,3,1,3,1,3,1,4,1,4,1,4,1,2,0,2,0,2,0,1,0.6666666667,1,0.8,1,,,,,,,1,,
88,3,1,0,0,0,0,5,1,3,4,1,3,1,3,1,3,1,3,1,3,1,2,0,2,0,2,0,1,0.3333333333,0,0.6666666667,1,,,,,,,,,
64,3,1,0,1,1,0,5,1,3,3,1,1,0,,,4,1,2,0,2,0,3,1,1,0,1,0,0,0.2666666667,0,0.8,1,,,,,1,1,1,1,1
44,3,1,0,1,1,1,5,1,1,4,1,4,1,4,1,4,1,4,1,3,1,4,1,4,1,4,1,1,0.8666666667,1,0.9333333333,1,,,,,1,1,1,1,1
22,3,1,1,0,0,0,5,1,3,4,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0.7333333333,1,0.6,1,,,,,1,,,,
,2,0,0,1,1,0,6,1,3,3,1,3,1,3,1,3,1,3,1,3,1,2,0,2,0,2,0,1,0.6,1,0.6666666667,1,,,,,1,1,1,1,1
34,3,1,0,0,0,1,6,1,3,4,1,3,1,3,1,3,1,4,1,4,1,4,1,3,1,2,0,,0.2666666667,0,0.5333333333,0,,,,,1,1,1,1,1
25,3,1,0,1,1,1,6,1,1,4,1,2,0,2,0,2,0,2,0,2,0,2,0,4,1,3,1,0,0.7333333333,1,0.9333333333,1,,,,,1,1,1,1,1
26,3,1,0,1,1,1,6,1,5,4,1,2,0,3,1,2,0,3,1,1,0,3,1,2,0,2,0,0,0.6666666667,1,0.9333333333,1,,,,,1,1,1,1,1
55,3,1,0,1,1,0,4,1,2,4,1,3,1,3,1,3,1,4,1,2,0,2,0,3,1,2,0,1,0.9333333333,1,0.8666666667,1,,,,,1,1,1,1,1
22,3,1,0,1,1,0,6,1,3,4,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0.8666666667,1,0.9333333333,1,,,,,1,1,1,1,1
21,3,1,0,1,1,0,5,1,3,4,1,3,1,3,1,3,1,2,0,2,0,2,0,2,0,2,0,0,0.7333333333,1,0.8,1,,,,,1,1,1,1,1
28,3,1,0,1,1,1,4,1,1,4,1,2,0,3,1,3,1,2,0,2,0,2,0,3,1,3,1,0,0.9333333333,1,1,1,,,,,1,1,1,1,1
46,3,1,0,1,1,1,4,1,1,3,1,3,1,3,1,3,1,3,1,2,0,3,1,3,1,1,0,0,0.4666666667,0,0.7333333333,1,,,,,1,,,1,1
,3,1,0,1,1,,2,0,1,,,,,,,,,,,,,,,2,0,2,0,0,0.5333333333,1,0.9333333333,1,,,,,1,0,1,,0
42,3,1,0,1,1,1,6,1,3,4,1,1,0,3,1,3,1,4,1,3,1,4,1,3,1,2,0,1,0.5333333333,1,0.5333333333,0,,,,,,,1,1,1
38,3,1,0,1,1,0,6,1,3,4,1,3,1,3,1,3,1,2,0,2,0,2,0,2,0,2,0,0,0.6666666667,1,0.8,1,,,,,1,1,1,1,1
,3,1,0,1,1,1,5,1,1,,,,,,,,,,,3,1,2,0,2,0,2,0,1,0.8666666667,1,1,1,,,,,1,1,1,1,1
34,2,0,0,0,0,1,5,1,1,4,1,3,1,4,1,1,0,1,0,1,0,3,1,4,1,1,0,0,0.3333333333,0,0.7333333333,1,,,,,1,1,1,1,1
52,3,1,0,0,0,1,6,1,3,4,1,2,0,3,1,4,1,2,0,2,0,2,0,2,0,2,0,0,0.5333333333,1,0.2666666667,0,,,,,1,1,1,1,1
26,2,0,0,1,1,1,6,1,1,4,1,1,0,3,1,4,1,2,0,2,0,2,0,3,1,2,0,0,0.6,1,0.6666666667,1,,,,,,,,,
21,3,1,,1,1,0,2,0,1,4,1,3,1,3,1,3,1,2,0,2,0,2,0,2,0,2,0,0,0.6666666667,1,0.8666666667,1,,,,,1,1,1,1,1
22,3,1,0,1,1,0,2,0,2,4,1,3,1,3,1,3,1,2,0,2,0,2,0,3,1,2,0,0,0.6666666667,1,0.6,1,,,,,,,,,
58,3,1,0,0,0,0,4,1,3,,,,,,,,,,,,,,,,,,,0,0.7333333333,1,0.2,0,,,,,,,,,
,3,1,0,1,1,1,2,0,1,4,1,4,1,4,1,3,1,3,1,3,1,4,1,3,1,3,1,0,0.5333333333,1,0.9333333333,1,,,,,,,,,
50,3,1,0,1,1,0,6,1,4,4,1,3,1,4,1,3,1,3,1,3,1,3,1,3,1,3,1,0,0.6666666667,1,0.6,1,,,,,,1,1,1,1
39,3,1,0,1,1,0,5,1,2,4,1,3,1,3,1,4,1,2,0,2,0,2,0,2,0,2,0,0,1,1,0.7333333333,1,,,,,1,1,1,1,1
43,3,1,0,0,0,1,2,0,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,2,0,1,0.9333333333,1,0.6666666667,1,,,,,,,,,
38,3,1,0,1,1,0,4,1,3,4,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0.5333333333,1,0.8,1,,,,,1,1,1,1,1
22,3,1,0,1,1,0,4,1,3,4,1,4,1,4,1,4,1,4,1,1,0,4,1,1,0,1,0,0,0.8,1,0.8666666667,1,,,,,1,1,1,1,1
64,3,1,0,1,1,0,4,1,3,4,1,3,1,3,1,3,1,2,0,2,0,2,0,2,0,2,0,0,0.7333333333,1,0.5333333333,0,,,,,1,1,1,1,1
54,3,1,0,1,1,1,4,1,1,3,1,3,1,3,1,3,1,3,1,2,0,3,1,4,1,3,1,0,0.3333333333,0,0.9333333333,1,,,,,1,1,1,1,1
,3,1,0,1,1,1,2,0,2,4,1,4,1,4,1,4,1,3,1,3,1,4,1,4,1,4,1,0,0.6666666667,1,0.5333333333,0,,,,,1,1,1,1,1
51,3,1,0,0,0,0,5,1,3,3,1,3,1,3,1,3,1,4,1,3,1,4,1,4,1,3,1,1,0.7333333333,1,0.8,1,,,,,1,,1,,1
36,3,1,0,0,0,1,4,1,1,4,1,4,1,4,1,4,1,3,1,3,1,4,1,4,1,4,1,1,0.4666666667,0,0.6,1,,,,,1,1,1,1,1
20,3,1,0,1,1,1,4,1,5,4,1,1,0,3,1,4,1,2,0,2,0,2,0,2,0,2,0,0,0.2666666667,0,0,0,,,,,,,,,
64,3,1,0,1,1,0,6,1,3,4,1,3,1,4,1,4,1,3,1,2,0,2,0,2,0,2,0,0,0.6666666667,1,0.9333333333,1,,,,,1,1,1,1,1
23,3,1,0,1,1,1,4,1,3,3,1,3,1,3,1,3,1,3,1,2,0,2,0,2,0,2,0,0,0.4,0,0.6666666667,1,,,,,,,,,
24,3,1,0,1,1,0,5,1,3,4,1,4,1,4,1,2,0,4,1,3,1,2,0,2,0,2,0,1,0.6666666667,1,0.8666666667,1,,,,,1,1,1,1,1
,3,1,0,1,1,0,1,0,2,4,1,4,1,4,1,4,1,1,0,1,0,1,0,1,0,1,0,0,,0,0,0,,,,,,,,,
22,3,1,0,1,1,1,5,1,3,2,0,2,0,3,1,2,0,3,1,3,1,2,0,2,0,2,0,0,0.6666666667,1,0.6666666667,1,,,,,,,,,
20,3,1,0,1,1,1,2,0,1,2,0,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0.8666666667,1,1,1,,1,,,,,,,
20,3,1,0,0,0,1,2,0,5,4,1,3,1,3,1,3,1,2,0,3,1,2,0,3,1,3,1,0,,0,0,0,,,,,,,,,
45,3,1,0,1,1,0,2,0,3,4,1,3,1,4,1,3,1,2,0,2,0,2,0,2,0,2,0,0,0.8666666667,1,0.7333333333,1,,,,,,,,,
68,3,1,0,1,1,0,5,1,3,3,1,3,1,3,1,4,1,2,0,,,2,0,,,2,0,0,0.8,1,0.8666666667,1,,,1,,1,1,1,1,1
44,3,1,0,,,0,5,1,3,4,1,4,1,4,1,4,1,2,0,1,0,1,0,1,0,1,0,0,0.2,0,0.9333333333,1,1,1,1,1,1,1,1,1,1
27,3,1,0,0,0,1,6,1,3,3,1,3,1,3,1,3,1,2,0,2,0,3,1,4,1,2,0,0,0.6666666667,1,1,1,,,,,,,,,
53,3,1,0,0,0,1,5,1,4,3,1,2,0,2,0,3,1,2,0,2,0,2,0,3,1,2,0,0,0.4666666667,0,0.2,0,1,1,0,0,0,,0,0,0
58,3,1,0,1,1,0,4,1,3,4,1,3,1,3,1,4,1,2,0,2,0,2,0,3,1,1,0,0,0.4666666667,0,0.6,1,,,,,1,1,1,1,1
66,3,1,0,0,0,1,6,1,2,4,1,4,1,4,1,4,1,4,1,4,1,3,1,3,1,3,1,1,0.7333333333,1,0.5333333333,0,0,1,1,1,0,0,0,0,0
62,3,1,0,1,1,1,4,1,1,4,1,2,0,2,0,4,1,2,0,2,0,2,0,4,1,4,1,0,0.8666666667,1,0.9333333333,1,1,1,1,1,1,1,1,1,1
23,3,1,0,1,1,1,6,1,3,4,1,4,1,4,1,4,1,2,0,2,0,2,0,2,0,2,0,0,0.9333333333,1,0.8666666667,1,1,1,1,1,1,1,1,1,1
,3,1,0,0,0,1,4,1,3,4,1,3,1,3,1,3,1,4,1,4,1,4,1,3,1,2,0,1,0.7333333333,1,1,1,1,1,1,1,1,1,1,1,1
43,3,1,0,1,1,1,3,0,2,4,1,4,1,4,1,4,1,4,1,2,0,4,1,4,1,2,0,0,0.6666666667,1,0.8666666667,1,1,1,1,1,1,1,1,1,1
